"movie_name","boxtot","year","month","ThreeD","Summer"
"(500) Days of Summer",26.068178,2009,8,0,"Summer"
"10 Cloverfield Lane",68.582888,2016,3,0,"Not Summer"
"10,000 B.C.",92.10861,2008,3,0,"Not Summer"
"12 Rounds",9.960664,2009,3,0,"Not Summer"
"12 Years a Slave",53.867992,2013,1,0,"Not Summer"
"127 Hours",14.330449,2011,1,0,"Not Summer"
"13 Hours: The Secret Soldiers of Benghazi",48.947015,2016,1,0,"Not Summer"
"1408",68.787205,2007,6,0,"Summer"
"16 Blocks",34.819264,2006,3,0,"Not Summer"
"17 Again",60.894341,2009,4,0,"Summer"
"2 Guns",65.353995,2013,8,0,"Summer"
"2012",159.028696,2009,11,0,"Not Summer"
"2016 Obama's America",32.534436,2012,8,0,"Summer"
"21",80.745758,2008,3,0,"Not Summer"
"21 and Over",23.13532,2013,3,0,"Not Summer"
"21 Jump Street",132.934683,2012,3,0,"Not Summer"
"22 Jump Street",183.947747,2014,6,0,"Summer"
"27 Dresses",71.469085,2008,1,0,"Not Summer"
"28 Weeks Later",27.219754,2007,5,0,"Summer"
"3 Days to Kill",29.145642,2014,2,0,"Not Summer"
"3 Idiots",0.503725,2009,12,0,"Not Summer"
"3:10 to Yuma (2007)",49.997294,2007,9,0,"Not Summer"
"30 Days of Night",38.190595,2007,10,0,"Not Summer"
"30 Minutes or Less",32.163325,2011,8,0,"Summer"
"300",205.510419,2007,3,0,"Not Summer"
"300: Rise of An Empire",102.557652,2014,3,0,"Not Summer"
"42",91.819454,2013,4,0,"Summer"
"47 Ronin",34.799885,2013,1,1,"Not Summer"
"50/50",31.837565,2011,9,0,"Not Summer"
"88 Minutes",15.92591,2008,4,0,"Summer"
"9",28.042829,2009,9,0,"Not Summer"
"90 Minutes in Heaven",2.742296,2015,9,0,"Not Summer"
"A Aa",0.495611,2016,6,0,"Summer"
"A Christmas Carol (2009)",134.596388,2009,11,0,"Not Summer"
"A Good Day to Die Hard",64.314147,2013,2,0,"Not Summer"
"A Good Year",4.799687,2006,11,0,"Not Summer"
"A Haunted House",31.085209,2013,1,0,"Not Summer"
"A Haunted House 2",14.183335,2014,4,0,"Summer"
"A Hologram for the King",2.922309,2016,4,0,"Summer"
"A Mighty Heart",4.764225,2007,6,0,"Summer"
"A Million Ways to Die in the West",40.514295,2014,5,0,"Summer"
"A Most Wanted Man",8.212233,2014,7,0,"Summer"
"A Nightmare on Elm Street (2010)",62.107323,2010,4,0,"Summer"
"A Perfect Getaway",8.700235,2009,8,0,"Summer"
"A Prairie Home Companion",6.220364,2006,6,0,"Summer"
"A Scanner Darkly",2.063774,2006,7,0,"Summer"
"A Thousand Words",16.943879,2012,3,0,"Not Summer"
"A Very Harold & Kumar 3D Christmas",29.219832,2011,11,1,"Not Summer"
"A Walk Among the Tombstones",25.314135,2014,9,0,"Not Summer"
"A Walk in the Woods",27.667638,2015,9,0,"Not Summer"
"Abduction",22.56836,2011,9,0,"Not Summer"
"About Last Night (2014)",44.84839,2014,2,0,"Not Summer"
"About Time",12.573058,2013,11,0,"Not Summer"
"Abraham Lincoln: Vampire Hunter",32.106376,2012,6,1,"Summer"
"Accepted",30.494095,2006,8,0,"Summer"
"Across the Universe",14.067456,2007,9,0,"Not Summer"
"Act of Valor",68.233207,2012,2,0,"Not Summer"
"Addicted",13.414227,2014,10,0,"Not Summer"
"Admission",15.917954,2013,3,0,"Not Summer"
"Adventureland",12.732787,2009,4,0,"Summer"
"Ae Dil Hai Mushkil",2.836565,2016,10,0,"Not Summer"
"African Cats",13.372379,2011,4,0,"Summer"
"After Dark's Horror Fest: 8 Films to Die For",1.751,2006,11,0,"Not Summer"
"After Earth",56.442209,2013,5,0,"Summer"
"Akeelah and the Bee",17.36127,2006,4,0,"Summer"
"Alex Cross",21.127955,2012,10,0,"Not Summer"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",60.543279,2014,10,0,"Not Summer"
"Alice in Wonderland (2010)",327.537023,2010,3,0,"Not Summer"
"Alice Through the Looking Glass",75.280329,2016,5,1,"Summer"
"Aliens in the Attic",19.11887,2009,7,0,"Summer"
"Aliens Vs. Predator - Requiem",38.580873,2007,1,0,"Not Summer"
"All About Steve",27.654145,2009,9,0,"Not Summer"
"All Is Lost",3.320942,2013,11,0,"Not Summer"
"All the King's Men",4.686955,2006,9,0,"Not Summer"
"Allied",37.208917,2016,11,0,"Not Summer"
"Almost Christmas",38.836485,2016,11,0,"Not Summer"
"Aloha",18.000123,2015,5,0,"Summer"
"Alpha and Omega",21.428627,2010,9,1,"Not Summer"
"Alpha Dog",12.36873,2007,1,0,"Not Summer"
"Alvin and the Chipmunks",204.121451,2007,1,0,"Not Summer"
"Alvin and the Chipmunks: Chipwrecked",124.682205,2011,1,0,"Not Summer"
"Alvin and the Chipmunks: The Road Chip",81.049347,2015,1,0,"Not Summer"
"Alvin and the Chipmunks: The Squeakquel",212.156137,2009,1,0,"Not Summer"
"Amazing Grace",15.313984,2007,2,0,"Not Summer"
"Amelia",12.219727,2009,10,0,"Not Summer"
"America (2014)",9.743696,2014,7,0,"Summer"
"American Dreamz",3.66742,2006,4,0,"Summer"
"American Gangster",126.03212,2007,11,0,"Not Summer"
"American Hustle",144.78843,2013,1,0,"Not Summer"
"American Reunion",54.042315,2012,4,0,"Summer"
"American Sniper",342.360752,2015,1,0,"Not Summer"
"American Ultra",11.829251,2015,8,0,"Summer"
"An American Carol",4.576,2008,10,0,"Not Summer"
"An American Haunting",14.21839,2006,5,0,"Summer"
"An Inconvenient Truth",17.789901,2006,6,0,"Summer"
"Anchorman 2: The Legend Continues",119.931349,2013,1,0,"Not Summer"
"And So It Goes",12.038519,2014,7,0,"Summer"
"Angels & Demons",125.338622,2009,5,0,"Summer"
"Annabelle",76.151041,2014,10,0,"Not Summer"
"Annapolis",13.938063,2006,1,0,"Not Summer"
"Annie (2014)",83.171867,2014,1,0,"Not Summer"
"Ant-Man",175.741157,2015,7,1,"Summer"
"Apocalypto",31.724156,2006,12,0,"Not Summer"
"Apollo 18",15.788409,2011,9,0,"Not Summer"
"Appaloosa",12.297086,2008,10,0,"Not Summer"
"Aqua Teen Hunger Force Colon Movie Film for Theaters",1.428,2007,4,0,"Summer"
"Aquamarine",16.29736,2006,3,0,"Not Summer"
"Are We Done Yet?",46.150924,2007,4,0,"Summer"
"Argo",124.322013,2012,2,0,"Not Summer"
"Armored",12.970023,2009,12,0,"Not Summer"
"Arrival",87.640561,2016,11,0,"Not Summer"
"Arthur (2011)",25.149982,2011,4,0,"Summer"
"Arthur and the Invisibles",9.272106,2007,1,0,"Not Summer"
"Arthur Christmas",43.242928,2011,11,1,"Not Summer"
"As Above/So Below",19.335415,2014,8,0,"Summer"
"Assassin's Creed",36.415167,2016,12,1,"Not Summer"
"Astro Boy",16.148497,2009,10,0,"Not Summer"
"ATL",18.309659,2006,3,0,"Not Summer"
"Atlas Shrugged: Part II",0.702046,2012,10,0,"Not Summer"
"Atonement",39.18334,2007,1,0,"Not Summer"
"Attack on Titan: Part 1",0.259768,2015,9,0,"Not Summer"
"August Rush",29.021587,2007,11,0,"Not Summer"
"August: Osage County",32.80912,2014,1,0,"Not Summer"
"Australia",41.796525,2008,11,0,"Not Summer"
"Avatar",744.020453,2009,1,1,"Not Summer"
"Avatar: Special Edition",4.427361,2010,8,1,"Summer"
"Avengers: Age of Ultron",452.963254,2015,5,1,"Summer"
"Awake",11.868847,2007,11,0,"Not Summer"
"Away from Her",2.710546,2007,5,0,"Summer"
"Away We Go",4.534622,2009,6,0,"Summer"
"Baahubali: The Beginning",3.575,2015,7,0,"Summer"
"Babel",24.665188,2006,1,0,"Not Summer"
"Babies",5.361594,2010,5,0,"Summer"
"Baby Mama",58.355355,2008,4,0,"Summer"
"Babylon A.D.",18.550472,2008,8,0,"Summer"
"Back to the Future Day",1.65,2015,10,0,"Not Summer"
"Bad Moms",110.994717,2016,7,0,"Summer"
"Bad Santa 2",15.564769,2016,11,0,"Not Summer"
"Bad Teacher",95.875407,2011,6,0,"Summer"
"Bad Words",6.530106,2014,4,0,"Summer"
"Baggage Claim",18.501717,2013,9,0,"Not Summer"
"Bajirao Mastani",2.96929,2015,12,0,"Not Summer"
"Bajrangi Bhaijaan",4.007959,2015,7,0,"Summer"
"Balls of Fury",29.567906,2007,8,0,"Summer"
"Bang Bang",0.170525,2014,10,0,"Not Summer"
"Bangkok Dangerous",13.690763,2008,9,0,"Not Summer"
"Barbershop: The Next Cut",51.86943,2016,4,0,"Summer"
"Barnyard: The Original Party Animals",67.014342,2006,8,0,"Summer"
"Basic Instinct 2",4.208069,2006,3,0,"Not Summer"
"Batman Begins (2012 re-release)",1.508658,2012,7,0,"Summer"
"Batman v Superman: Dawn of Justice",327.679243,2016,3,1,"Not Summer"
"Batman: The Killing Joke",3.775,2016,7,0,"Summer"
"Battle of the Year",5.468292,2013,9,1,"Not Summer"
"Battle: Los Angeles",79.700377,2011,3,0,"Not Summer"
"Battleship",62.15182,2012,5,0,"Summer"
"Be Kind, Rewind",5.034404,2008,2,0,"Not Summer"
"Bears",15.011044,2014,4,0,"Summer"
"Beastly",23.834612,2011,3,0,"Not Summer"
"Beautiful Creatures (2013)",16.570598,2013,2,0,"Not Summer"
"Beauty and the Beast (3D)",44.908132,2012,1,0,"Not Summer"
"Because I Said So",35.510425,2007,2,0,"Not Summer"
"Becoming Jane",10.790628,2007,8,0,"Summer"
"Bedtime Stories",105.073339,2008,1,0,"Not Summer"
"Bee Movie",121.021546,2007,11,0,"Not Summer"
"Beerfest",15.813241,2006,8,0,"Summer"
"Begin Again",6.725666,2014,7,0,"Summer"
"Belle",6.814267,2014,6,0,"Summer"
"Ben-Hur (2016)",20.686581,2016,8,0,"Summer"
"Beowulf",79.632767,2007,11,1,"Not Summer"
"Beverly Hills Chihuahua",90.878127,2008,10,0,"Not Summer"
"Beyond the Lights",12.440011,2014,11,0,"Not Summer"
"Beyond the Mask",0.242845,2015,4,0,"Summer"
"Big Hero 6",211.207036,2014,1,1,"Not Summer"
"Big Miracle",17.605685,2012,2,0,"Not Summer"
"Big Momma's House 2",62.45961,2006,1,0,"Not Summer"
"Big Mommas: Like Father, Like Son",29.969678,2011,2,0,"Not Summer"
"Birdman",19.469207,2014,11,0,"Not Summer"
"Black Christmas (2006)",3.307602,2006,12,0,"Not Summer"
"Black Mass",58.951782,2015,9,0,"Not Summer"
"Black Nativity",4.942698,2013,11,0,"Not Summer"
"Black or White",18.604866,2015,1,0,"Not Summer"
"Black Snake Moan",7.502589,2007,3,0,"Not Summer"
"Black Swan",97.214665,2010,1,0,"Not Summer"
"Blackhat",5.42915,2015,1,0,"Not Summer"
"Blades of Glory",115.194096,2007,3,0,"Not Summer"
"Blair Witch",17.557088,2016,9,0,"Not Summer"
"Bleed for This",2.89761,2016,11,0,"Not Summer"
"Blended",38.648229,2014,5,0,"Summer"
"Blood Diamond",48.660833,2006,1,0,"Not Summer"
"Blue Jasmine",28.393495,2013,8,0,"Summer"
"Bobby",9.728892,2006,11,0,"Not Summer"
"Body of Lies",32.246667,2008,10,0,"Not Summer"
"Bolt",104.521656,2008,11,1,"Not Summer"
"Boo! A Madea Halloween",70.885605,2016,10,0,"Not Summer"
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",121.269713,2006,11,0,"Not Summer"
"Boyhood",14.662048,2014,8,0,"Summer"
"BRATZ",1.721363,2007,8,0,"Summer"
"Brave",225.442866,2012,6,1,"Summer"
"Breach",29.879095,2007,2,0,"Not Summer"
"Brick Mansions",18.98583,2014,4,0,"Summer"
"Bride Wars",51.545192,2009,1,0,"Not Summer"
"Bridesmaids",162.19693,2011,5,0,"Summer"
"Bridge of Spies",64.69986,2015,10,0,"Not Summer"
"Bridge to Terabithia",79.712054,2007,2,0,"Not Summer"
"Bridget Jones's Baby",21.960695,2016,9,0,"Not Summer"
"Brokeback Mountain",79.352,2006,1,0,"Not Summer"
"Broken City",16.67409,2013,1,0,"Not Summer"
"Brooklyn",28.671171,2015,1,0,"Not Summer"
"Brooklyn's Finest",23.180632,2010,3,0,"Not Summer"
"Brothers",23.898492,2009,12,0,"Not Summer"
"Bruno",58.21199,2009,7,0,"Summer"
"Bug",6.743839,2007,5,0,"Summer"
"Bullet to the Head",8.732783,2013,2,0,"Not Summer"
"Burlesque",36.171798,2010,11,0,"Not Summer"
"Burn After Reading",53.081752,2008,9,0,"Not Summer"
"Burnt",13.192905,2015,10,0,"Not Summer"
"Cadillac Records",4.324085,2008,12,0,"Not Summer"
"Capitalism: A Love Story",12.082045,2009,10,0,"Not Summer"
"Capote",18.862184,2006,2,0,"Not Summer"
"Captain America: Civil War",401.614622,2016,5,1,"Summer"
"Captain America: The First Avenger",160.632114,2011,7,1,"Summer"
"Captain America: The Winter Soldier",251.840998,2014,4,1,"Summer"
"Captain Phillips",98.884468,2013,10,0,"Not Summer"
"Captive (2015)",0.647188,2015,9,0,"Not Summer"
"Carrie (2013)",32.765617,2013,10,0,"Not Summer"
"Cars",232.181886,2006,6,0,"Summer"
"Cars 2",183.584494,2011,6,1,"Summer"
"Casa De Mi Padre",4.132976,2012,3,0,"Not Summer"
"Casablanca (2012 re-release)",1.15533,2012,3,0,"Not Summer"
"Casanova",5.945186,2006,1,0,"Not Summer"
"Case 39",10.717298,2010,10,0,"Not Summer"
"Casino Royale",140.5694,2006,11,0,"Not Summer"
"Catch and Release",10.238524,2007,1,0,"Not Summer"
"Cats & Dogs: The Revenge of Kitty Galore",37.408401,2010,7,1,"Summer"
"Central Intelligence",120.318163,2016,6,0,"Summer"
"Changeling",32.248492,2008,10,0,"Not Summer"
"Chappie",29.372483,2015,3,0,"Not Summer"
"Charlie St. Cloud",26.64453,2010,7,0,"Summer"
"Charlie Wilson's War",60.84751,2007,1,0,"Not Summer"
"Charlotte's Web (2006)",74.438367,2006,1,0,"Not Summer"
"Cheaper by the Dozen 2",74.668267,2006,1,0,"Not Summer"
"Chef",19.848917,2014,5,0,"Summer"
"Chernobyl Diaries",16.110261,2012,5,0,"Summer"
"Children of Men",28.726643,2007,1,0,"Not Summer"
"Chimpanzee",26.340987,2012,4,0,"Summer"
"Chronicle (2012)",55.373718,2012,2,0,"Not Summer"
"Cinderella (2015)",196.273979,2015,3,0,"Not Summer"
"Cirque du Freak: The Vampire's Assistant",11.610085,2009,10,0,"Not Summer"
"Cirque Du Soleil: Worlds Away",0.927563,2012,12,0,"Not Summer"
"City of Ember",3.601414,2008,10,0,"Not Summer"
"Clash of the Titans (2010)",160.127747,2010,4,0,"Summer"
"Clerks II",20.456909,2006,7,0,"Summer"
"Click",124.18858,2006,6,0,"Summer"
"Cloud Atlas",25.214054,2012,10,0,"Not Summer"
"Cloudy with a Chance of Meatballs",119.710831,2009,9,1,"Not Summer"
"Cloudy with a Chance of Meatballs 2",110.757734,2013,9,1,"Not Summer"
"Cloverfield",73.284443,2008,1,0,"Not Summer"
"Collateral Beauty",24.342478,2016,12,0,"Not Summer"
"College",2.825655,2008,9,0,"Not Summer"
"College Road Trip",39.218415,2008,3,0,"Not Summer"
"Colombiana",34.185443,2011,8,0,"Summer"
"Compadres",1.397434,2016,4,0,"Summer"
"Conan the Barbarian (2011)",17.886474,2011,8,0,"Summer"
"Concussion (2015)",32.04423,2015,1,0,"Not Summer"
"Confessions of a Shopaholic",39.35352,2009,2,0,"Not Summer"
"Contagion",69.922166,2011,9,0,"Not Summer"
"Contraband",63.383485,2012,1,0,"Not Summer"
